SDR:0.0782795 CONVERT:0.000329018 ITER:0 GLOBAL:1.19209e-06 T2SIN:0.000701189 SDR:0.0450854 CONVERT:0.000321627 TIME:0.0461237
ITER:82 GLOBAL:0.193143 T2SIN:8.58307e-06 PILOT_SINH:6.8903e-05 FREQ_PHASE_SINH:8.72612e-05 PFC:4.29153e-05 MAC:2.40803e-05 SEQ:33604 DET:79 FR_IN_BUF:8 TIME:0.000290394
ITER:83 GLOBAL:0.193434 T2SIN:1.19209e-05 PILOT_SINH:6.05583e-05 FREQ_PHASE_SINH:8.53539e-05 PFC:4.24385e-05 MAC:2.40803e-05 SEQ:10632 DET:80 FR_IN_BUF:9 TIME:0.00028944
ITER:84 GLOBAL:0.193723 T2SIN:9.77516e-06 PILOT_SINH:6.07967e-05 FREQ_PHASE_SINH:8.34465e-05 PFC:4.05312e-05 MAC:2.38419e-05 SEQ:51019 DET:81 FR_IN_BUF:10 TIME:0.000256062
ITER:85 GLOBAL:0.19398 T2SIN:7.39098e-06 PILOT_SINH:5.98431e-05 FREQ_PHASE_SINH:8.39233e-05 PFC:4.48227e-05 MAC:2.40803e-05 SEQ:83 DET:82 FR_IN_BUF:11 TIME:0.000296354
ITER:86 GLOBAL:0.194277 T2SIN:3.43323e-05 PILOT_SINH:6.07967e-05 FREQ_PHASE_SINH:8.65459e-05 PFC:3.95775e-05 MAC:2.38419e-05 SEQ:14474 DET:83 FR_IN_BUF:12 TIME:0.000291586
ITER:87 GLOBAL:0.194568 T2SIN:7.86781e-06 PILOT_SINH:6.46114e-05 FREQ_PHASE_SINH:8.27312e-05 PFC:3.74317e-05 MAC:2.36034e-05 SEQ:85 DET:84 FR_IN_BUF:13 TIME:0.000269651
ITER:88 GLOBAL:0.194839 T2SIN:1.28746e-05 PILOT_SINH:6.05583e-05 FREQ_PHASE_SINH:8.36849e-05 PFC:3.8147e-05 MAC:2.36034e-05 SEQ:86 DET:85 FR_IN_BUF:14 TIME:0.000257254
ITER:89 GLOBAL:0.195096 T2SIN:7.62939e-06 PILOT_SINH:5.98431e-05 FREQ_PHASE_SINH:8.4877e-05 PFC:4.00543e-05 MAC:2.36034e-05 SEQ:52080 DET:86 FR_IN_BUF:15 TIME:0.000252485
ITER:90 GLOBAL:0.195349 T2SIN:8.34465e-06 PILOT_SINH:6.10352e-05 FREQ_PHASE_SINH:8.44002e-05 PFC:3.8147e-05 MAC:2.36034e-05 SEQ:88 DET:87 FR_IN_BUF:16 TIME:0.000284433
ITER:91 GLOBAL:0.195633 T2SIN:8.58307e-06 PILOT_SINH:5.98431e-05 FREQ_PHASE_SINH:8.74996e-05 PFC:3.69549e-05 MAC:2.3365e-05 SEQ:89 DET:88 FR_IN_BUF:17 TIME:0.000262499
ITER:92 GLOBAL:0.195896 T2SIN:8.58307e-06 PILOT_SINH:6.00815e-05 FREQ_PHASE_SINH:8.67844e-05 PFC:3.98159e-05 MAC:2.36034e-05 SEQ:13755 DET:89 FR_IN_BUF:18 TIME:0.000265837
ITER:93 GLOBAL:0.196162 T2SIN:9.53674e-06 PILOT_SINH:6.58035e-05 FREQ_PHASE_SINH:8.24928e-05 PFC:3.76701e-05 MAC:2.36034e-05 SEQ:91 DET:90 FR_IN_BUF:19 TIME:0.000260592
ITER:94 GLOBAL:0.196423 T2SIN:7.62939e-06 PILOT_SINH:6.03199e-05 FREQ_PHASE_SINH:8.39233e-05 PFC:3.91006e-05 MAC:2.36034e-05 SEQ:92 DET:91 FR_IN_BUF:20 TIME:0.000280142
ITER:95 GLOBAL:0.196703 T2SIN:8.82149e-06 PILOT_SINH:5.96046e-05 FREQ_PHASE_SINH:8.24928e-05 PFC:4.07696e-05 MAC:2.38419e-05 SEQ:3016 DET:92 FR_IN_BUF:21 TIME:0.000259161
ITER:96 GLOBAL:0.196963 T2SIN:8.58307e-06 PILOT_SINH:6.03199e-05 FREQ_PHASE_SINH:8.2016e-05 PFC:3.86238e-05 MAC:2.36034e-05 SEQ:14474 DET:93 FR_IN_BUF:22 TIME:0.000267029
ITER:97 GLOBAL:0.19723 T2SIN:7.39098e-06 PILOT_SINH:5.96046e-05 FREQ_PHASE_SINH:8.9407e-05 PFC:3.60012e-05 MAC:2.38419e-05 SEQ:95 DET:94 FR_IN_BUF:23 TIME:0.000257969
ITER:98 GLOBAL:0.197489 T2SIN:7.39098e-06 PILOT_SINH:6.00815e-05 FREQ_PHASE_SINH:8.67844e-05 PFC:3.83854e-05 MAC:2.3365e-05 SEQ:2824 DET:95 FR_IN_BUF:24 TIME:0.000279188
ITER:99 GLOBAL:0.197768 T2SIN:1.00136e-05 PILOT_SINH:6.41346e-05 FREQ_PHASE_SINH:8.27312e-05 PFC:4.00543e-05 MAC:2.36034e-05 SEQ:3016 DET:96 FR_IN_BUF:25 TIME:0.000281096
